Timestamp,Tempo gasto (ms),nf,stress_test
07/03/2025 00:02,455,free5gc-nrf,MEMORY_512_Duration_20
07/03/2025 00:02,561,free5gc-nrf,MEMORY_512_Duration_20
07/03/2025 00:02,457,free5gc-nrf,MEMORY_512_Duration_20
07/03/2025 00:02,455,free5gc-nrf,MEMORY_512_Duration_20
07/03/2025 00:02,470,free5gc-nrf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:02,1094,free5gc-nrf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:02,1196,free5gc-nrf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:02,1192,free5gc-nrf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:02,1393,free5gc-nrf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:02,1396,free5gc-nrf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:02,1992,free5gc-nrf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:03,1195,free5gc-nrf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:03,1386,free5gc-nrf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:03,503,free5gc-nrf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:03,453,free5gc-nssf,CPU_50_Duration_20
07/03/2025 00:03,468,free5gc-nssf,CPU_50_Duration_20
07/03/2025 00:03,453,free5gc-nssf,CPU_50_Duration_20
07/03/2025 00:03,605,free5gc-nssf,CPU_50_Duration_20
07/03/2025 00:03,456,free5gc-nssf,CPU_50_Duration_20
07/03/2025 00:03,462,free5gc-nssf,CPU_50_Duration_20
07/03/2025 00:03,453,free5gc-nssf,CPU_50_Duration_20
07/03/2025 00:03,504,free5gc-nssf,CPU_50_Duration_20
07/03/2025 00:03,458,free5gc-nssf,CPU_50_Duration_20
07/03/2025 00:03,459,free5gc-nssf,CPU_50_Duration_20
07/03/2025 00:03,467,free5gc-nssf,CPU_50_Duration_20
07/03/2025 00:03,499,free5gc-nssf,CPU_50_Duration_20
07/03/2025 00:03,451,free5gc-nssf,CPU_50_Duration_20
07/03/2025 00:03,454,free5gc-nssf,CPU_50_Duration_20
