Timestamp,Tempo gasto (ms),nf,stress_test
07/03/2025 00:03,459,NSSF,Memory
07/03/2025 00:03,458,NSSF,CPU + Memory
07/03/2025 00:03,464,NSSF,CPU + Memory
07/03/2025 00:03,464,NSSF,CPU + Memory
07/03/2025 00:03,476,NSSF,CPU + Memory
07/03/2025 00:03,454,NSSF,CPU + Memory
07/03/2025 00:03,466,NSSF,CPU + Memory
07/03/2025 00:03,455,NSSF,CPU + Memory
07/03/2025 00:04,455,NSSF,CPU + Memory
07/03/2025 00:04,463,NSSF,CPU + Memory
07/03/2025 00:04,464,NSSF,CPU + Memory
07/03/2025 00:04,514,NSSF,CPU + Memory
07/03/2025 00:04,481,NSSF,CPU + Memory
07/03/2025 00:04,497,NSSF,CPU + Memory
07/03/2025 00:04,455,NSSF,CPU + Memory
07/03/2025 00:04,495,PCF,CPU
07/03/2025 00:04,499,PCF,CPU
07/03/2025 00:04,688,PCF,CPU
07/03/2025 00:04,794,PCF,CPU
07/03/2025 00:04,498,PCF,CPU
07/03/2025 00:04,488,PCF,CPU
07/03/2025 00:04,496,PCF,CPU
07/03/2025 00:04,498,PCF,CPU
07/03/2025 00:04,592,PCF,CPU
07/03/2025 00:04,590,PCF,CPU
07/03/2025 00:04,494,PCF,CPU
07/03/2025 00:04,691,PCF,CPU
07/03/2025 00:04,497,PCF,CPU
07/03/2025 00:04,490,PCF,CPU
07/03/2025 00:04,490,PCF,Memory
07/03/2025 00:04,519,PCF,Memory
07/03/2025 00:04,474,PCF,Memory
07/03/2025 00:04,456,PCF,Memory
07/03/2025 00:04,526,PCF,Memory
07/03/2025 00:04,504,PCF,Memory
07/03/2025 00:04,491,PCF,Memory
07/03/2025 00:04,487,PCF,Memory
07/03/2025 00:04,493,PCF,Memory
07/03/2025 00:04,453,PCF,Memory
07/03/2025 00:04,534,PCF,Memory
07/03/2025 00:04,491,PCF,Memory
07/03/2025 00:04,598,PCF,Memory
07/03/2025 00:04,505,PCF,Memory
07/03/2025 00:04,505,PCF,CPU + Memory
07/03/2025 00:04,585,PCF,CPU + Memory
07/03/2025 00:05,694,PCF,CPU + Memory
07/03/2025 00:05,792,PCF,CPU + Memory
07/03/2025 00:05,691,PCF,CPU + Memory
07/03/2025 00:05,795,PCF,CPU + Memory
07/03/2025 00:05,691,PCF,CPU + Memory
07/03/2025 00:05,802,PCF,CPU + Memory
07/03/2025 00:05,587,PCF,CPU + Memory
07/03/2025 00:05,498,PCF,CPU + Memory
07/03/2025 00:05,589,PCF,CPU + Memory
07/03/2025 00:05,604,PCF,CPU + Memory
07/03/2025 00:05,586,PCF,CPU + Memory
07/03/2025 00:05,506,PCF,CPU + Memory
07/03/2025 00:05,483,SMF,CPU
07/03/2025 00:05,459,SMF,CPU
07/03/2025 00:05,457,SMF,CPU
07/03/2025 00:05,460,SMF,CPU
07/03/2025 00:05,501,SMF,CPU
07/03/2025 00:05,498,SMF,CPU
07/03/2025 00:05,483,SMF,CPU
07/03/2025 00:05,491,SMF,CPU
07/03/2025 00:05,457,SMF,CPU
07/03/2025 00:05,456,SMF,CPU
07/03/2025 00:05,455,SMF,CPU
07/03/2025 00:05,465,SMF,CPU
07/03/2025 00:05,457,SMF,CPU
07/03/2025 00:05,456,SMF,CPU
07/03/2025 00:05,456,SMF,Memory
07/03/2025 00:05,453,SMF,Memory
07/03/2025 00:05,455,SMF,Memory
07/03/2025 00:05,498,SMF,Memory
07/03/2025 00:05,481,SMF,Memory
07/03/2025 00:05,501,SMF,Memory
07/03/2025 00:05,491,SMF,Memory
07/03/2025 00:05,456,SMF,Memory
07/03/2025 00:05,455,SMF,Memory
07/03/2025 00:05,479,SMF,Memory
07/03/2025 00:05,462,SMF,Memory
07/03/2025 00:05,456,SMF,Memory
07/03/2025 00:06,464,SMF,Memory
07/03/2025 00:06,474,SMF,Memory
07/03/2025 00:06,462,SMF,Memory
07/03/2025 00:06,462,SMF,CPU + Memory
07/03/2025 00:06,462,SMF,CPU + Memory
07/03/2025 00:06,461,SMF,CPU + Memory
07/03/2025 00:06,473,SMF,CPU + Memory
07/03/2025 00:06,521,SMF,CPU + Memory
07/03/2025 00:06,455,SMF,CPU + Memory
07/03/2025 00:06,529,SMF,CPU + Memory
07/03/2025 00:06,455,SMF,CPU + Memory
07/03/2025 00:06,462,SMF,CPU + Memory
07/03/2025 00:06,482,SMF,CPU + Memory
07/03/2025 00:06,452,SMF,CPU + Memory
07/03/2025 00:06,527,SMF,CPU + Memory
07/03/2025 00:06,456,SMF,CPU + Memory
07/03/2025 00:06,465,SMF,CPU + Memory
07/03/2025 00:06,449,UDM,CPU
07/03/2025 00:06,1331,UDM,CPU
07/03/2025 00:06,995,UDM,CPU
07/03/2025 00:06,1795,UDM,CPU
07/03/2025 00:06,1294,UDM,CPU
07/03/2025 00:06,1496,UDM,CPU
07/03/2025 00:06,1695,UDM,CPU
07/03/2025 00:06,1294,UDM,CPU
07/03/2025 00:06,1291,UDM,CPU
07/03/2025 00:06,459,UDM,Memory
07/03/2025 00:06,453,UDM,Memory
07/03/2025 00:06,450,UDM,Memory
07/03/2025 00:06,508,UDM,Memory
07/03/2025 00:06,494,UDM,Memory
07/03/2025 00:06,504,UDM,Memory
07/03/2025 00:06,457,UDM,Memory
07/03/2025 00:07,463,UDM,Memory
07/03/2025 00:07,452,UDM,Memory
07/03/2025 00:07,512,UDM,Memory
07/03/2025 00:07,454,UDM,Memory
07/03/2025 00:07,460,UDM,Memory
07/03/2025 00:07,455,UDM,Memory
07/03/2025 00:07,453,UDM,Memory
07/03/2025 00:07,505,UDM,Memory
07/03/2025 00:07,505,UDM,CPU + Memory
07/03/2025 00:07,925,UDM,CPU + Memory
07/03/2025 00:07,1997,UDM,CPU + Memory
07/03/2025 00:07,2293,UDM,CPU + Memory
07/03/2025 00:07,1792,UDM,CPU + Memory
07/03/2025 00:07,2097,UDM,CPU + Memory
07/03/2025 00:07,1294,UDM,CPU + Memory
07/03/2025 00:07,1300,UDM,CPU + Memory
07/03/2025 00:07,459,UDR,CPU
07/03/2025 00:07,1176,UDR,CPU
07/03/2025 00:07,900,UDR,CPU
07/03/2025 00:07,1292,UDR,CPU
07/03/2025 00:07,1287,UDR,CPU
07/03/2025 00:07,1396,UDR,CPU
07/03/2025 00:07,1203,UDR,CPU
07/03/2025 00:07,1396,UDR,CPU
07/03/2025 00:07,889,UDR,CPU
