time,rss
2025-03-21 16:10:12,169.9102
2025-03-21 16:10:11,169.9102
2025-03-21 16:10:10,169.9102
2025-03-21 16:10:09,169.9102
2025-03-21 16:10:08,169.6562
2025-03-21 16:10:07,169.6562
2025-03-21 16:10:06,169.6562
2025-03-21 16:10:05,169.6562
2025-03-21 16:10:04,169.6562
2025-03-21 16:10:03,169.6562
2025-03-21 16:10:02,169.6562
2025-03-21 16:10:01,169.6562
2025-03-21 16:10:00,169.6562
2025-03-21 16:09:59,169.6562
2025-03-21 16:09:58,169.6562
2025-03-21 16:09:57,169.6562
2025-03-21 16:09:56,169.6562
2025-03-21 16:09:55,168.8984
2025-03-21 16:09:54,165.14062
2025-03-21 16:09:53,162.90234
2025-03-21 16:09:52,160.37891
2025-03-21 16:09:51,158.36328
2025-03-21 16:09:50,156.09766
2025-03-21 16:09:49,153.83984
2025-03-21 16:09:48,151.56641
2025-03-21 16:09:47,149.30078
2025-03-21 16:09:46,147.27734
2025-03-21 16:09:45,145.26562
2025-03-21 16:09:44,143
2025-03-21 16:09:43,140.5
2025-03-21 16:09:42,138.51562
2025-03-21 16:09:41,135.98438
2025-03-21 16:09:40,134.24219
2025-03-21 16:09:39,131.73047
2025-03-21 16:09:38,129.47656
2025-03-21 16:09:37,127.45703
2025-03-21 16:09:36,125.19922
2025-03-21 16:09:35,123.1875
2025-03-21 16:09:34,121.17969
2025-03-21 16:09:33,119.42578
2025-03-21 16:09:32,117.16016
2025-03-21 16:09:31,115.33203
2025-03-21 16:09:30,113.32422
2025-03-21 16:09:29,111.5625
2025-03-21 16:09:28,110.29688
2025-03-21 16:09:27,109.01562
2025-03-21 16:09:26,108.50391
2025-03-21 16:09:25,107.74219
2025-03-21 16:09:24,106.02734
2025-03-21 16:09:23,102.5
2025-03-21 16:09:22,100.24219
2025-03-21 16:09:21,97.97656
2025-03-21 16:09:20,95.70703
2025-03-21 16:09:19,93.44141
2025-03-21 16:09:18,91.67578
2025-03-21 16:09:17,89.16406
2025-03-21 16:09:16,86.65625
2025-03-21 16:09:15,84.67188
2025-03-21 16:09:14,82.64453
2025-03-21 16:09:13,80.63672
2025-03-21 16:09:12,78.41406
