time,voluntary,involuntary,user,system,reads,writes,reads,writes,files,sockets,pipes,inotifies,event,timer,signal,eventpolls,other,limit,minor,major,mem,rss,processes,swap,threads,uptime,vmem,Committed_AS,minor,major,alloc,fallback,fallback_charge,up,down,inbound,outbound,full,half,unknown,received,sent,inbound,outbound,frames,collisions,carrier,receive,transmit,mtu,up,down,notpresent,lowerlayerdown,testing,dormant,unknown,received,sent,multicast,speed,active,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait,some 10,some 60,some 300,time.1,load1,load5,load15,some 10,some 60,some 300,time.1,free,used,cached,buffers
2025-03-20 20:50:47,0,0,0.0,0,0,0,0,0,3,292,292,0,0,0,0,1,0,0.02,0,0,44.60547,58.96875,9,0,32,1198817,708.8398,9295.43,5843.021,0,0,0,0,1,0,0,0,0,0,1,0.5600372,-0.7840521,0,0,0,0,0,0,0,9000,1,0,0,0,0,0,0,7.877354,-5.553952,0,0,1943,0,0,0.0,0.0,0,0.9428033,0.565682,0,0.0,0.0,0.0,0.0,1.6667228,,,,0.0,0.0,0.0,0.0,8812.293,2884.34,20152.71,249.1406
2025-03-20 20:50:46,0,0,0.0,0,0,0,0,0,3,292,292,0,0,0,0,1,0,0.02,0,0,44.60547,58.96875,9,0,32,1198816,708.8398,9303.68,9760.477,0,0,0,0,1,0,0,0,0,0,1,0.559897,-0.7838558,0,0,0,0,0,0,0,9000,1,0,0,0,0,0,0,2.661921,-3.215813,0,0,1944,0,0,0.0,0.063012,0,0.5671078,0.5671078,0,0.5671078,0.0,0.0,0.0,1.893819,1.21,0.77,0.47,0.0,0.0,0.0,0.0,8813.891,2882.746,20152.7,249.1406
2025-03-20 20:50:45,0,0,0.0,0,0,0,0,0,3,292,292,0,0,0,0,1,0,0.02,0,0,44.60547,58.96875,9,0,32,1198815,708.8398,9303.176,1237.5961,0,0,0,0,1,0,0,0,0,0,1,0.5600231,-0.7840324,0,0,0,0,0,0,0,9000,1,0,0,0,0,0,0,1.0000658,-1.0000658,0,0,1944,0,0,0.0,0.0,0,1.5625,0.75,0,0.0625,0.0,0.0,0.0,1.999973,1.17,0.74,0.46,0.0,0.0,0.0,0.0,8813.652,2882.988,20152.7,249.1406
2025-03-20 20:50:44,0,0,0.0,0,0,0,0,0,3,292,292,0,0,0,0,1,0,0.02,0,0,44.60547,58.96875,9,0,32,1198814,708.8398,9303.652,2647.694,0,0,0,0,1,0,0,0,0,0,1,3.451682,-2.604686,0,0,0,0,0,0,0,9000,1,0,0,0,0,0,0,0.9998162,-0.9998162,0,0,1944,0,0,0.0,0.0,0,0.6277464,0.6277464,0,0.0,0.0,0.0,0.0,2.181496,1.19,0.74,0.45,0.0,0.0,0.0,0.0,8813.516,2883.137,20152.69,249.1406
2025-03-20 20:50:43,0,0,0.0,0,0,0,0,0,3,292,292,0,0,0,0,1,0,0.02,0,0,44.60547,58.96875,9,0,32,1198813,708.8398,9282.457,4006.767,0,0,0,0,1,0,0,0,0,0,1,4.148223,-3.04318,0,0,0,0,0,0,0,9000,1,0,0,0,0,0,0,1.0000403,-1.0000403,0,0,1944,0,0,0.0,0.0626566,0,0.877193,0.4385965,0,0.0,0.0,0.0,0.0,3.000046,1.2,0.73,0.45,0.0,0.0,0.0,0.0,8811.609,2885.043,20152.69,249.1406
2025-03-20 20:50:42,0,0,0.0,0,0,0,0,0,3,292,292,0,0,0,0,1,0,0.02,0,0,44.60547,58.96875,9,0,32,1198812,708.8398,9282.457,1002.5286,0,0,0,0,1,0,0,0,0,0,1,0.5601135,-0.7841589,0,0,0,0,0,0,0,9000,1,0,0,0,0,0,0,2.785068,-2.785068,0,0,1943,0,0,0.0,0.0,0,0.6277464,0.6277464,0,0.0627746,0.0,0.0,0.0,2.659225,1.31,0.75,0.45,0.0,0.0,0.0,0.0,8812.125,2884.531,20152.68,249.1406
2025-03-20 20:50:41,0,0,0.0,0,0,0,0,0,3,292,292,0,0,0,0,1,0,0.02,0,0,44.60547,58.96875,9,0,32,1198811,708.8398,9291.191,940.1241,0,0,0,0,1,0,0,0,0,0,1,0.5600693,-0.7840971,0,0,0,0,0,0,0,9000,1,0,0,0,0,0,0,3.214761,-3.214761,0,0,1943,0,0,0.0,0.0628931,0,0.5660377,0.6289308,0,0.0,0.0,0.0,0.0,2.613576,1.25,0.72,0.44,0.0,0.0,0.0,0.0,8811.625,2885.059,20152.66,249.1406
2025-03-20 20:50:40,0,0,0.0,0,0,0,0,0,3,292,292,0,0,0,0,1,0,0.02,0,0,44.60547,58.96875,9,0,32,1198811,708.8398,9285.945,731.0969,0,0,0,0,1,0,0,0,0,0,1,0.5600177,-0.7840247,0,0,0,0,0,0,0,9000,1,0,0,0,0,0,0,1.000205,-1.000205,0,0,1943,0,0,0.0,0.0626174,0,1.1897307,0.5009393,0,0.0,0.0,0.0,0.0,2.727172,1.36,0.74,0.45,0.0,0.0,0.0,0.0,8812.281,2884.406,20152.65,249.1406
2025-03-20 20:50:39,0,0,0.0,0,0,0,0,0,3,292,292,0,0,0,0,1,0,0.02,0,0,44.60547,58.96875,9,0,32,1198810,708.8398,9284.711,1546.5204,0,0,0,0,1,0,0,0,0,0,1,0.5599806,-0.7839728,0,0,0,0,0,0,0,9000,1,0,0,0,0,0,0,1.000126,-1.000126,0,0,1943,0,0,0.0,0.0,0,1.756587,1.2547051,0,0.0627353,0.0,0.0,0.0,3.272129,1.3,0.72,0.44,0.0,0.0,0.0,0.0,8812.082,2884.605,20152.65,249.1406
2025-03-20 20:50:38,0,0,0.0,0,0,0,0,0,3,292,292,0,0,0,0,1,0,0.02,0,0,44.60547,58.96875,9,0,32,1198809,708.8398,9284.711,2175.94,0,0,0,0,1,0,0,0,0,0,1,0.5599516,-0.7839323,0,0,0,0,0,0,0,9000,1,0,0,0,0,0,0,1.0000374,-1.0000374,0,0,1943,0,0,0.0,0.0,0,0.9380863,0.5003127,0,0.0,0.0,0.0,0.0,3.925383,1.3983203,0.7289382,0.44,0.0,0.0,0.0,0.0,8813.242,2883.449,20152.65,249.1406
