time,Committed_AS
2025-03-20 20:50:46,9295.43
2025-03-20 20:50:45,9303.68
2025-03-20 20:50:44,9303.176
2025-03-20 20:50:43,9303.652
2025-03-20 20:50:42,9282.457
2025-03-20 20:50:41,9282.457
2025-03-20 20:50:40,9291.191
2025-03-20 20:50:39,9285.945
2025-03-20 20:50:38,9284.711
2025-03-20 20:50:37,9284.711
2025-03-20 20:50:36,9284.711
2025-03-20 20:50:35,9284.211
2025-03-20 20:50:34,9277.309
2025-03-20 20:50:33,9277.305
2025-03-20 20:50:32,9286.883
2025-03-20 20:50:31,9286.883
2025-03-20 20:50:30,9286.883
2025-03-20 20:50:29,9285.941
2025-03-20 20:50:28,9282.344
2025-03-20 20:50:27,9285.5
2025-03-20 20:50:26,9285.5
2025-03-20 20:50:25,9656.461
2025-03-20 20:50:24,9655.562
2025-03-20 20:50:23,9655.562
2025-03-20 20:50:22,9663.191
2025-03-20 20:50:21,9663.191
2025-03-20 20:50:20,9673.551
2025-03-20 20:50:19,9665.719
2025-03-20 20:50:18,9665.469
2025-03-20 20:50:17,9655.762
2025-03-20 20:50:16,9664.012
2025-03-20 20:50:15,9664.012
2025-03-20 20:50:14,9664.012
2025-03-20 20:50:13,9672.512
2025-03-20 20:50:12,9664.668
2025-03-20 20:50:11,9672.215
2025-03-20 20:50:10,9672.691
2025-03-20 20:50:09,9672.691
2025-03-20 20:50:08,9672.691
2025-03-20 20:50:07,9672.691
2025-03-20 20:50:06,9672.691
2025-03-20 20:50:05,9672.699
2025-03-20 20:50:04,9671.758
2025-03-20 20:50:03,9671.758
2025-03-20 20:50:02,9654.355
2025-03-20 20:50:01,9654.285
2025-03-20 20:50:00,9654.285
2025-03-20 20:49:59,9654.633
2025-03-20 20:49:58,9654.633
2025-03-20 20:49:57,9654.633
2025-03-20 20:49:56,9654.633
2025-03-20 20:49:55,9665.41
2025-03-20 20:49:54,9664.469
2025-03-20 20:49:53,9663.965
2025-03-20 20:49:52,9653.906
2025-03-20 20:49:51,9653.906
2025-03-20 20:49:50,9649.418
2025-03-20 20:49:49,9649.418
2025-03-20 20:49:48,9649.418
2025-03-20 20:49:47,9657.797
2025-03-20 20:49:46,9666.047
2025-03-20 20:49:45,9674.297
