time,time
2025-03-20 20:50:42,1.6667228
2025-03-20 20:50:40,1.893819
2025-03-20 20:50:38,1.999973
2025-03-20 20:50:36,2.181496
2025-03-20 20:50:34,3.000046
2025-03-20 20:50:32,2.659225
2025-03-20 20:50:30,2.613576
2025-03-20 20:50:28,2.727172
2025-03-20 20:50:26,3.272129
2025-03-20 20:50:24,3.925383
2025-03-20 20:50:22,1.3333342
2025-03-20 20:50:20,1.787629
2025-03-20 20:50:18,2.227166
2025-03-20 20:50:16,2.635785
2025-03-20 20:50:14,3.637031
2025-03-20 20:50:12,2.000015
2025-03-20 20:50:10,2
2025-03-20 20:50:08,2.454333
2025-03-20 20:50:06,2.787688
2025-03-20 20:50:04,3.333289
2025-03-20 20:50:02,2.424692
2025-03-20 20:50:00,1.6592654
2025-03-20 20:49:58,1.840766
2025-03-20 20:49:56,2.181532
2025-03-20 20:49:54,2.939436
2025-03-20 20:49:52,2.666694
2025-03-20 20:49:50,1.87159
2025-03-20 20:49:48,2.749312
2025-03-20 20:49:46,3.182129
2025-03-20 20:49:44,2.469759
