time,load1,load5,load15
2025-03-20 20:56:55,0.15,0.3,0.34
2025-03-20 20:56:50,0.18,0.31,0.35
2025-03-20 20:56:45,0.2,0.32,0.35
2025-03-20 20:56:40,0.21,0.32,0.35
2025-03-20 20:56:35,0.23,0.33,0.35
2025-03-20 20:56:30,0.25,0.34,0.35
2025-03-20 20:56:25,0.27,0.34,0.36
2025-03-20 20:56:20,0.2163707,0.3310618,0.3510618
2025-03-20 20:56:15,0.21,0.33,0.35
2025-03-20 20:56:10,0.23,0.34,0.35
2025-03-20 20:56:05,0.25,0.34,0.36
2025-03-20 20:56:00,0.12,0.32,0.35
