time,voluntary,involuntary,user,system,reads,writes,reads,writes,files,sockets,pipes,inotifies,event,timer,signal,eventpolls,other,limit,minor,major,mem,rss,processes,swap,threads,uptime,vmem,received,sent
2025-03-21 16:23:38,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269190,843.9258,0.5600595,-0.7840834
2025-03-21 16:23:37,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269189,843.9258,0.5601678,-0.7842349
2025-03-21 16:23:36,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269188,843.9258,0.6688399,-0.8656221
2025-03-21 16:23:35,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269187,843.9258,2.473617,-2.029693
2025-03-21 16:23:34,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269186,843.9258,5.465488,-3.872608
2025-03-21 16:23:33,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269185,843.9258,0.5600492,-0.7840689
2025-03-21 16:23:32,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269184,843.9258,0.5599016,-0.7838623
2025-03-21 16:23:31,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269183,843.9258,0.5599816,-0.7839742
2025-03-21 16:23:30,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269182,843.9258,0.5600389,-0.7840545
2025-03-21 16:23:29,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269181,843.9258,0.9165086,-0.9658941
2025-03-21 16:23:28,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269180,843.9258,1.6751851,-1.3536772
2025-03-21 16:23:27,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269179,843.9258,0.5600815,-0.7841141
2025-03-21 16:23:26,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269178,843.9258,0.559914,-0.7838796
2025-03-21 16:23:25,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269177,843.9258,2.130641,-1.772959
2025-03-21 16:23:24,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269176,843.9258,5.562548,-4.003178
2025-03-21 16:23:23,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269175,843.9258,0.8510923,-1.1842568
2025-03-21 16:23:22,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269174,843.9258,0.5597076,-0.7835907
2025-03-21 16:23:21,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269173,843.9258,1.0422882,-1.1016003
2025-03-21 16:23:20,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269172,843.9258,2.298406,-1.90631
2025-03-21 16:23:19,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269171,843.9258,1.2754077,-1.1842319
2025-03-21 16:23:18,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269170,843.9258,0.560031,-0.7840433
2025-03-21 16:23:17,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269169,843.9258,0.5599367,-0.7839114
2025-03-21 16:23:16,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269168,843.9258,0.5596996,-0.7835794
2025-03-21 16:23:15,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269167,843.9258,2.129599,-1.77241
2025-03-21 16:23:14,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269166,843.9258,5.471189,-3.876693
2025-03-21 16:23:13,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269165,843.9258,0.559966,-0.7839524
2025-03-21 16:23:12,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269164,843.9258,0.5596721,-0.7835409
